Mr,Watkins,Michelle,Lakeland,Winnipeg,4,Canada,R3L,1-(450)403-9249,mwatkins0@gmpg.org,6350a1990c589948b4e61d4ec8ee338eed94808d832f3f2a8702772b0351987c,alliance,5
Mrs,Garcia,Patricia,High Crossing,Burnaby,2,Canada,V5M,1-(319)419-9244,pgarcia1@ustream.tv,c0abe52b6e0e40c579df23066844302f3a70e8256c125f4fdbe724299238484b,throughput,3
Ms,Warren,Kenneth,Valley Edge,Moose Jaw,6,Canada,S6J,1-(910)267-3627,kwarren2@mapy.cz,86b89c39ff1878242ea2cea10c30c6ccbcba1e5fd1034416efbf4bdc0e69e296,data-warehouse,5
Rev,Long,Harold,Magdeline,Malartic,11,Canada,X0G,1-(303)478-8414,hlong3@vkontakte.ru,0bdeeb7f7d4cc4a760f73c13f6285dadc986ebaeeb50d5322918a6b931070b4e,website,4
Dr,West,Annie,Old Shore,Oliver,8,Canada,E5L,1-(553)543-0298,awest4@gmpg.org,b766a9993c2c63fb078d33c99bc4f5bf8708f0d6f419c732fec9240e5a2e11e0,Re-engineered,5
Ms,Kim,Joseph,Scoville,Airdrie,8,Canada,T4B,1-(828)437-3032,jkim5@psu.edu,37b18ffac891acf81a96c346d2f0e66b0715e26dec8f715873c1cfb52d232611,frame,3
Mrs,Ortiz,Lois,Ruskin,Pincher Creek,7,Canada,J0J,1-(348)423-2056,lortiz6@bing.com,13b0251389675d95d8d29cfeaad746e4ecacb38178e32184d628e22d5ff835fb,24/7,4
Honorable,Chavez,Louise,Macpherson,Kugluktuk,8,Canada,T5C,1-(937)936-1187,lchavez7@google.fr,3e0035e400083c023137b7206fda923f87b07b92ce2f4dcee4e13fed148a35ab,focus group,5
Mrs,Kelley,Daniel,Northport,Abbotsford,2,Canada,L9T,1-(345)122-5725,dkelley8@blogtalkradio.com,75478411708997b777854be6ac185f57bc99e3d34d8128fdce283a89779d2589,Adaptive,2
Ms,Nguyen,Carol,Monterey,Château-Richer,1,Canada,B3H,1-(820)241-7735,cnguyen9@ebay.com,15f657638e4c5399893e9ddacb593cee27d617cfddb0de5a3a04c8cbee0b3170,Synergistic,3
Dr,Lee,Sandra,Nevada,North Perth,6,Canada,E6J,1-(610)845-8274,sleea@sun.com,4315a0227526c9b1e10336bc21c7d36fa34923e052a940ec2ad917dff6b0293f,systematic,3
Rev,Gilbert,Antonio,Maryland,Banff,12,Canada,T1L,1-(933)903-1859,agilbertb@angelfire.com,f4bb744afbb2def9ed5428a1d681c5f81abefec30b16b23889b579cd230e68c2,De-engineered,3
Mr,Rodriguez,Kenneth,Bluejay,Carleton Place,8,Canada,K7C,1-(993)949-8442,krodriguezc@usgs.gov,d4bd8d907bec64d2202429e0468fc9d037fcd1ff37d5804c0bcd1cd9659e16a2,Switchable,3
Ms,Gomez,Sarah,Hanover,Oakville,3,Canada,L6J,1-(416)807-7666,sgomezd@wp.com,01f8ca35ad29bb93de9fd18e947b3fa1d7a2a5937507abcaec95576359527002,solution-oriented,5
Rev,Brooks,Joan,Merry,Drummondville,2,Canada,J2E,1-(561)711-1817,jbrookse@japanpost.jp,d9d98b28eb640c0aa0d42581acb1f32e981fe5d8f66f11b7af44c4db32b3a9e5,disintermediate,2
Ms,Ortiz,Peter,Roth,Walnut Grove,12,Canada,V2X,1-(359)491-2544,portizf@wikimedia.org,bca5d8ed9e668fa3b372683541b9661e7e0cee9920be7d113d50789e6155a691,optimal,5
Mr,Butler,Kevin,Clarendon,Picton,7,Canada,S0H,1-(345)402-1167,kbutlerg@ocn.ne.jp,e50214c9ba3066f6a9b484b9dea66b7aef756f0ce69a4886e6256435abd9ad5a,Decentralized,1
Honorable,Anderson,Frank,Shopko,Gravelbourg,1,Canada,G8V,1-(394)778-2661,fandersonh@blog.com,79725e28e60e8257583bae2c7d34431c2ff912f897eeafce36e5992350e58897,Devolved,5
Rev,George,Shawn,Mendota,Newmarket,1,Canada,L9N,1-(481)497-7691,sgeorgei@cloudflare.com,8625c0efa250aa0bdb664aa9b766121bb02deee77e35ac234ececaeb98f605b3,grid-enabled,3
Ms,Crawford,John,Algoma,Plessisville,9,Canada,G6L,1-(515)866-6661,jcrawfordj@360.cn,ba22a512dda840aa944f5397a84e7fa6b473d026fdcef9e30791b974c5f0f0c6,Distributed,4
Dr,Cruz,Michelle,Swallow,Langenburg,3,Canada,V7P,1-(186)478-9932,mcruzk@narod.ru,925764ea0494d704a87989801dc36c9fe48c0665fce36b346a254057908b29a4,logistical,2
Mr,Woods,Albert,Lakeland,Rayside-Balfour,4,Canada,G9T,1-(503)589-4936,awoodsl@xing.com,278988076c6943de6694f1034d414b061b33fbba62032505578a8cf1ca1ab38a,Seamless,1
